id,X,Y,Z,o_X,o_Y,o_Z,skyangle,skytexture,source_node,dest_node,type,neigh_id,interp_id,
0,4.65,-4.25,0.064,1.5707963267948966,0.0,0.0,172.8420949028607,altocumulus_10.exr_preview.png,0,-1,self,-1,-1,
1,4.635714285714286,-4.25,0.064,1.5707963267948966,0.0,0.0,158.62967790963384,above_ocean_10.exr_preview.png,0,11,interp,0,1,
2,4.621428571428572,-4.25,0.064,1.5707963267948966,0.0,0.0,87.84114176191821,snowy_mountains_10.exr_preview.png,0,11,interp,0,2,
3,4.607142857142858,-4.25,0.064,1.5707963267948966,0.0,0.0,299.37155088727866,cumulus_70.exr_preview.png,0,11,interp,0,3,
4,4.5928571428571425,-4.25,0.064,1.5707963267948966,0.0,0.0,338.97976502889406,hazy_mountains_70.exr_preview.png,0,11,interp,0,4,
5,4.578571428571428,-4.25,0.064,1.5707963267948966,0.0,0.0,11.860470362169293,above_ocean_70.exr_preview.png,0,11,interp,0,5,
6,4.564285714285714,-4.25,0.064,1.5707963267948966,0.0,0.0,128.45386225884874,cirrus_70.exr_preview.png,0,11,interp,0,6,
7,3.45,-4.95,0.064,1.5707963267948966,0.0,0.0,139.70125336959788,cumulus_10.exr_preview.png,1,-1,self,-1,-1,
8,3.45,-4.935714285714286,0.064,1.5707963267948966,0.0,0.0,305.468498903135,snowy_mountains_30.exr_preview.png,1,26,interp,0,1,
9,3.45,-4.921428571428572,0.064,1.5707963267948966,0.0,0.0,44.74893326273388,cirrus_70.exr_preview.png,1,26,interp,0,2,
10,3.45,-4.9071428571428575,0.064,1.5707963267948966,0.0,0.0,353.90688481692735,altocumulus_70.exr_preview.png,1,26,interp,0,3,
11,3.45,-4.892857142857142,0.064,1.5707963267948966,0.0,0.0,115.92881230860354,cumulus_70.exr_preview.png,1,26,interp,0,4,
12,3.45,-4.878571428571428,0.064,1.5707963267948966,0.0,0.0,205.6641436984142,above_ocean_10.exr_preview.png,1,26,interp,0,5,
13,3.45,-4.864285714285714,0.064,1.5707963267948966,0.0,0.0,191.51040498861323,altocumulus_10.exr_preview.png,1,26,interp,0,6,
14,3.25,-4.75,0.064,1.5707963267948966,0.0,0.0,266.76546801242614,above_ocean_70.exr_preview.png,2,-1,self,-1,-1,
15,3.25,-4.735714285714286,0.064,1.5707963267948966,0.0,0.0,106.93481062355987,Hazy_mountains_10.exr_preview.png,2,30,interp,0,1,
16,3.25,-4.7214285714285715,0.064,1.5707963267948966,0.0,0.0,262.3992476985893,clear_mountains_10.exr_preview.png,2,30,interp,0,2,
17,3.25,-4.707142857142857,0.064,1.5707963267948966,0.0,0.0,210.89710799706168,clear_mountains_10.exr_preview.png,2,30,interp,0,3,
18,3.25,-4.692857142857143,0.064,1.5707963267948966,0.0,0.0,334.1998806728512,cumulus_70.exr_preview.png,2,30,interp,0,4,
19,3.25,-4.678571428571429,0.064,1.5707963267948966,0.0,0.0,171.37139196940097,empty_70.exr_preview.png,2,30,interp,0,5,
20,3.25,-4.664285714285715,0.064,1.5707963267948966,0.0,0.0,224.46354995425102,empty_10.exr_preview.png,2,30,interp,0,6,
21,2.95,-3.35,0.064,1.5707963267948966,0.0,0.0,19.91888211059588,altocumulus_10.exr_preview.png,3,-1,self,-1,-1,
22,2.935714285714286,-3.35,0.064,1.5707963267948966,0.0,0.0,76.07482256846008,clear_mountains_70.exr_preview.png,3,37,interp,0,1,
23,2.9214285714285717,-3.35,0.064,1.5707963267948966,0.0,0.0,120.48547425262036,empty_70.exr_preview.png,3,37,interp,0,2,
24,2.9071428571428575,-3.35,0.064,1.5707963267948966,0.0,0.0,156.31589884166743,mars_10.exr_preview.png,3,37,interp,0,3,
25,2.892857142857143,-3.35,0.064,1.5707963267948966,0.0,0.0,179.08929904984646,empty_70.exr_preview.png,3,37,interp,0,4,
26,2.8785714285714286,-3.35,0.064,1.5707963267948966,0.0,0.0,85.78154027525763,snowy_mountains_10.exr_preview.png,3,37,interp,0,5,
27,2.8642857142857143,-3.35,0.064,1.5707963267948966,0.0,0.0,245.96925037178877,cumulus_70.exr_preview.png,3,37,interp,0,6,
28,2.65,-3.15,0.064,1.5707963267948966,0.0,0.0,279.202377361804,clear_10.exr_preview.png,4,-1,self,-1,-1,
29,2.65,-3.164285714285714,0.064,1.5707963267948966,0.0,0.0,140.08157349053084,mars_70.exr_preview.png,4,43,interp,0,1,
30,2.65,-3.1785714285714284,0.064,1.5707963267948966,0.0,0.0,100.9074230383832,mars_10.exr_preview.png,4,43,interp,0,2,
31,2.65,-3.1928571428571426,0.064,1.5707963267948966,0.0,0.0,74.28924333095146,cirrus_10.exr_preview.png,4,43,interp,0,3,
